"Granularity","Member","Revenue","COGS","Shipping","Tax","GrossProfit","NetProfit","GrossMargin","NetMargin","RevenueLY","RevenueDeltaLY","RevenueDeltaLYPct","GrossMarginDeltaLY","NetMarginDeltaLY","GrossResidual","NetResidual","GrossMarginResidual","NetMarginResidual"
"Category","Accesorio","700759.95999999996","262085.39189999999","17520.556","56060.796799999996","438674.56809999997","365093.21529999998","0.62599833486490863","0.52099611299138726","670388.60999999999","30371.349999999999","0.045304096082420017","-4.1169179176847592E-11","-1.4364942568789729E-10","0","0","0","0"
"Category","Bicicleta","28318144.650699999","16812348.1501","707954.31090000004","2265451.6244999999","11505796.500600001","8532390.5651999991","0.40630474356714563","0.30130471718559737","28318144.650699999","0","0","0","0","0","0","0","0"
"Category","Prenda","339772.60999999999","203360.0337","8494.7422000000006","27181.808799999999","136412.57629999999","100736.02529999999","0.40148196848474632","0.29648071190906178","324449.23999999999","15323.370000000001","0.047228866987020834","0.0011973100894916433","0.0011973134951835385","0","0","0","0"
"Country","AU","9061000.5844000001","5375145.5081000002","226525.61309999999","724880.06660000002","3685855.0762999998","2734449.3966000001","0.40678234616227754","0.30178227792058676","9052492.8643999994","8507.7199999999993","0.00093982068005351498","0.00012708443023823346","0.00012708283737106196","0","0","0","0"
"Country","CA","1977844.8621","1147923.3609","49446.448100000001","158227.59150000001","829921.50120000006","622247.46160000004","0.41960899820970848","0.3146088318268408","1968387.2420999999","9457.6200000000008","0.0048047557907914566","0.00072858364232331052","0.0007285756528312981","0","0","0","0"
"Country","DE","2894312.3382000001","1706941.5732","72358.064599999998","231544.9914","1187370.7649999999","883467.70900000003","0.41024278870276903","0.30524269870246168","2891034.5082","3277.8299999999999","0.0011337913783813064","0.00018834170894949098","0.00018833954536606745","0","0","0","0"
"Country","FR","2644017.7143000001","1557752.9924999999","66100.697199999995","211521.42199999999","1086264.7217999999","808642.60259999998","0.41083867022713466","0.30583857219507588","2640822.6543000001","3195.0599999999999","0.0012098729896903703","0.00019241401821390447","0.00019241122106217201","0","0","0","0"
"Country","GB","3391712.2108999998","2001221.4328999999","84793.123500000002","271336.98190000001","1390490.7779999999","1034360.6726","0.40996720580577489","0.30496711049830777","3387998.5709000002","3713.6399999999999","0.0010961161648345959","0.00014670324542065405","0.00014670116570830727","0","0","0","0"
"Country","US","9389789.5108000003","5488808.7081000004","234745.66260000001","751183.17669999995","3900980.8026999999","2915051.9633999998","0.41544922793137679","0.3104491277517083","9372246.6608000007","17542.849999999999","0.0018717870575658292","0.00026903055404314813","0.00026902735389655597","0","0","0","0"
"State","AU / New South Wales","3934485.7264999999","2334845.5460000001","98362.405599999998","314758.86700000003","1599640.1805","1186518.9079","0.40656906434452661","0.30156899538570481","3931321.8365000002","3163.8899999999999","0.0008047903813483676","0.0001111398967528765","0.00011113838789095221","0","0","0","0"
"State","AU / Queensland","1988415.0297000001","1178760.9694000001","49710.505700000002","159073.2065","809654.06030000001","600870.34809999994","0.40718564696332821","0.30218557953198316","1986215.1697","2199.8600000000001","0.0011075637894419411","0.00018015690753447888","0.00018015532076759433","0","0","0","0"
"State","AU / South Australia","618255.86159999995","366122.48060000001","15456.4347","49460.470500000003","252133.38099999999","187216.47579999999","0.4078139758311351","0.30281391156647952","617697.95160000003","557.90999999999997","0.00090320843472908809","0.00019706638888594696","0.00019706507085320846","0","0","0","0"
"State","AU / Tasmania","239937.90330000001","142873.9123","5998.4648999999999","19195.0327","97063.990999999995","71870.493400000007","0.40453796446924273","0.29953789047718166","239646.00330000001","291.89999999999998","0.0012180466019897941","0.00018053448659965943","0.00018053249031468876","0","0","0","0"
"State","AU / Victoria","2279906.0633","1352542.5998","56997.802199999998","182392.48989999999","927363.46349999995","687973.17139999999","0.40675511962001981","0.30175505143585096","2277611.9032999999","2294.1599999999999","0.0010072655471619304","8.3689224883443103E-05","8.3687449526304025E-05","0","0","0","0"
"State","CA / Alberta","22467.802500000002","13573.135700000001","561.69650000000001","1797.4241999999999","8894.6668000000009","6535.5460999999996","0.3958850359308615","0.29088497195041663","22467.802500000002","0","0","0","0","0","0","0","0"
"State","CA / British Columbia","1955340.0996000001","1134336.4021000001","48883.827499999999","156427.21049999999","821003.69750000001","615692.65949999995","0.41987769680985476","0.31487752929833079","1945882.4796","9457.6200000000008","0.0048603243511109312","0.00073570398629185796","0.00073569590988448175","0","0","0","0"
"State","CA / Ontario","36.960000000000001","13.8231","0.92410000000000003","2.9567999999999999","23.136900000000001","19.256","0.62599837662337665","0.52099567099567101","36.960000000000001","0","0","0","0","0","0","0","0"
"State","DE / Bayern","399966.78220000002","235657.2641","9999.2027999999991","31997.343000000001","164309.51809999999","122312.97229999999","0.4108079105875308","0.30580782640804016","399510.47220000002","456.31","0.0011421728133613614","0.00023687324589688474","0.0002368702132152789","0","0","0","0"
"State","DE / Brandenburg","57919.208500000001","34725.304199999999","1447.9849999999999","4633.5367999999999","23193.904299999998","17112.3825","0.40045271509537289","0.29545263036527858","57914.218500000003","4.9900000000000002","8.6161915488853566E-05","1.943289542399862E-05","1.943203937870841E-05","0","0","0","0"
"State","DE / Hamburg","479125.8713","283425.12880000001","11978.189","38330.070399999997","195700.74249999999","145392.48310000001","0.40845371586595852","0.30345362629972428","478706.77130000002","419.10000000000002","0.00087548375148709741","0.00014910369345050301","0.00014910189179889732","0","0","0","0"
"State","DE / Hessen","662103.29680000001","391158.59749999997","16552.637999999999","52968.2647","270944.69929999998","201423.7966","0.40921816974707442","0.30421808435858555","661176.87679999997","926.41999999999996","0.0014011681783000914","0.00019836432244529911","0.00019836232465247905","0","0","0","0"
"State","DE / Nordrhein-Westfalen","566114.27220000001","332065.71179999999","14152.9136","45289.142800000001","234048.56039999999","174606.50399999999","0.41342988844010986","0.30842978630701973","565721.36219999997","392.91000000000003","0.00069452919096432166","0.00010984234763794509","0.00010984073930042637","0","0","0","0"
"State","DE / Saarland","729082.90720000002","429909.56679999997","18227.136200000001","58326.633699999998","299173.34039999999","222619.5705","0.41034200287174144","0.30534191420692791","728004.80720000004","1078.0999999999999","0.0014808968146055397","0.00025302495928897217","0.0002530223433578338","0","0","0","0"
"State","FR / Charente-Maritime","34441.734900000003","19893.034199999998","861.04690000000005","2755.3389000000002","14548.700699999999","10932.314899999999","0.42241486215028035","0.31741475659520274","34393.764900000002","47.969999999999999","0.0013947295429701562","0.00018043558420238748","0.00018043137016754418","0","0","0","0"
"State","FR / Essonne","279297.1838","165792.69190000001","6982.4530999999997","22343.775000000001","113504.49189999999","84178.263800000001","0.40639325594231074","0.30139317072483851","279058.15379999997","239.03","0.00085655981287438728","0.00018810530822094274","0.00018810412699593604","0","0","0","0"
