Granularity,Member,Revenue,COGS,Shipping,Tax,GrossProfit,NetProfit,GrossMargin,NetMargin,RevenueLY
Total,All,29358677.220699999,17277793.5757,733969.6091,2348694.2300999998,12080883.645,8998219.8058000002,0.41149277789947902,0.30649268487667425,
Year,2010,43421.036399999997,25572.063999999998,1085.5265999999999,3473.683,17848.972399999999,13289.762799999997,0.41106739681598203,0.30606737889839952,
Year,2011,7075525.9291000003,4231462.1909999996,176888.2574,566042.0858,2844063.7381000007,2101133.3949000007,0.40195792745285902,0.29695791040190034,43421.036399999997
Year,2012,5842485.1952,3414478.1692999997,146062.23499999999,467398.85649999999,2428007.0259000002,1814545.9344000004,0.4155777797939092,0.31057775480385874,7075525.9291000003
Year,2013,16351550.34,9586139.368999999,408791.13640000002,1308124.0271999999,6765410.9710000008,5048495.8074000012,0.41374737137004713,0.30874722594652765,5842485.1952
Year,2014,45694.720000000001,20141.7824,1142.4537,3655.5776000000001,25552.937600000001,20754.906299999999,0.55920985181657745,0.45420797632636767,16351550.34
Country,AU,9061000.5844000001,5375145.5081000002,226525.61309999999,724880.06660000002,3685855.0762999998,2734449.3965999996,0.40678234616227754,0.30178227792058676,
Country,CA,1977844.8621,1147923.3609,49446.448100000001,158227.59149999998,829921.50120000006,622247.46160000004,0.41960899820970848,0.3146088318268408,
Country,DE,2894312.3382000001,1706941.5732,72358.064599999998,231544.9914,1187370.7650000001,883467.70900000026,0.41024278870276909,0.30524269870246179,
Country,FR,2644017.7143000001,1557752.9924999999,66100.697199999995,211521.42199999999,1086264.7218000002,808642.6026000001,0.41083867022713472,0.30583857219507588,
Country,GB,3391712.2108999998,2001221.4328999999,84793.123500000002,271336.98190000001,1390490.7779999999,1034360.6725999999,0.40996720580577489,0.30496711049830777,
Country,US,9389789.5108000003,5488808.7080999995,234745.66260000001,751183.17669999995,3900980.8027000008,2915051.9634000007,0.41544922793137684,0.31044912775170841,
State,AU / New South Wales,3934485.7264999999,2334845.5460000001,98362.405599999998,314758.86699999997,1599640.1804999998,1186518.9079,0.40656906434452655,0.30156899538570481,
State,AU / Queensland,1988415.0297000001,1178760.9694000001,49710.505700000002,159073.2065,809654.06030000001,600870.34810000006,0.40718564696332821,0.30218557953198316,
State,AU / South Australia,618255.86159999995,366122.48060000001,15456.4347,49460.470499999996,252133.38099999994,187216.47579999993,0.40781397583113504,0.30281391156647941,
State,AU / Tasmania,239937.90330000001,142873.9123,5998.4648999999999,19195.0327,97063.991000000009,71870.493400000007,0.40453796446924278,0.29953789047718166,
State,AU / Victoria,2279906.0633,1352542.5998,56997.802199999998,182392.48989999999,927363.46350000007,687973.17140000011,0.40675511962001987,0.30175505143585102,
State,CA / Alberta,22467.802500000002,13573.135699999999,561.69650000000001,1797.4241999999999,8894.6668000000027,6535.5461000000032,0.39588503593086161,0.29088497195041674,
State,CA / British Columbia,1955340.0996000001,1134336.4021000001,48883.827499999999,156427.21049999999,821003.69750000001,615692.65950000007,0.41987769680985476,0.31487752929833079,
State,CA / Ontario,36.960000000000001,13.8231,0.92409999999999992,2.9567999999999999,23.136900000000001,19.256,0.62599837662337665,0.52099567099567101,
State,DE / Bayern,399966.78220000002,235657.2641,9999.2027999999991,31997.342999999997,164309.51810000002,122312.97230000002,0.4108079105875308,0.30580782640804016,
State,DE / Brandenburg,57919.208500000001,34725.304199999999,1447.9849999999999,4633.5367999999999,23193.904300000002,17112.3825,0.40045271509537295,0.29545263036527852,
State,DE / Hamburg,479125.8713,283425.12880000001,11978.189,38330.070399999997,195700.74249999999,145392.48309999998,0.40845371586595847,0.30345362629972428,
State,DE / Hessen,662103.29680000001,391158.59749999997,16552.637999999999,52968.2647,270944.69930000004,201423.79660000003,0.40921816974707448,0.30421808435858561,
State,DE / Nordrhein-Westfalen,566114.27220000001,332065.71179999999,14152.9136,45289.142800000001,234048.56040000002,174606.50400000002,0.41342988844010992,0.30842978630701973,
State,DE / Saarland,729082.90720000002,429909.56679999997,18227.136200000001,58326.633699999998,299173.34040000004,222619.57050000003,0.4103420028717415,0.30534191420692797,
State,FR / Charente-Maritime,34441.734900000003,19893.034199999998,861.04689999999994,2755.3389000000002,14548.700700000005,10932.314900000005,0.42241486215028046,0.31741475659520285,
State,FR / Essonne,279297.1838,165792.69190000001,6982.4530999999997,22343.774999999998,113504.49189999999,84178.263800000001,0.40639325594231068,0.30139317072483851,
State,FR / Garonne (Haute),54641.7232,32574.520699999997,1366.048,4371.3378999999995,22067.202500000003,16329.816600000006,0.40385260946528867,0.29885251861895901,
State,FR / Hauts de Seine,263416.18540000002,155402.1936,6585.4294,21073.295399999999,108013.99180000002,80355.267000000022,0.41005070222233964,0.30505060605133194,
State,FR / Loir et Cher,21473.739600000001,12432.279999999999,536.84619999999995,1717.8992000000001,9041.459600000002,6786.7142000000022,0.42104727767118877,0.31604714998034167,
